 #No_Constraint #No_Constraint #No_Constraint
   #Erot(W)cm-1             #J    #Speed(m/s)
         237.65              3         202.80
         212.36              3         942.45
         236.70              3         343.74
         217.80              3         524.09
         240.93              3         366.14
         241.49              3         509.53
         214.31              3         398.01
         209.73              3         354.16
         234.37              3         608.14
         222.62              3         150.22
         239.36              3         352.61
         210.96              3         530.84
         222.81              3         177.49
         213.13              3         170.36
         215.99              3         448.53
         235.39              3         448.20
         213.88              3         528.58
         233.48              3         342.03
         228.81              3         677.25
         240.80              3         700.47
         216.91              3         418.82
         211.53              3         426.45
         245.04              3        1112.46
         217.22              3         249.04
         247.57              3         467.91
         218.05              3         491.69
         210.33              3         164.12
         217.86              3         755.21
         227.08              3         583.04
         225.70              3         608.85
         242.18              3         779.12
         231.69              3         827.39
         237.66              3         782.53
         230.24              3         305.90
         211.44              3         463.19
         236.86              3         432.50
         234.27              3         585.47
         214.82              3         456.06
         219.70              3         278.27
         229.11              3         344.45
         237.08              3         314.00
         248.31              3         508.49
         242.05              3         359.09
         230.22              3         899.47
         239.50              3         470.40
         228.45              3         250.02
         226.98              3         635.96
         237.49              3         701.25
         218.27              3         215.11
         213.27              3         611.72
         233.56              3         616.78
         234.09              3         509.63
         220.18              3         367.41
         223.27              3         257.86
         238.18              3         274.14
         229.59              3         189.68
         218.03              3         396.60
         244.90              3         759.29
         230.91              3         113.33
         220.20              3         283.75
         213.14              3         520.64
         228.70              3         311.10
         235.65              3         827.83
         223.33              3         388.41
         242.23              3         534.34
         227.47              3         709.79
         212.69              3         744.67
         229.64              3         245.99
         230.98              3         252.37
         213.23              3         778.47
         221.46              3         517.53
         223.99              3         701.22
         237.88              3         398.66
         212.89              3         611.14
         229.54              3         358.34
         210.76              3         280.69
         246.19              3         778.36
         228.61              3         852.06
         212.86              3         521.89
         220.56              3         754.07
         218.76              3         552.30
         221.76              3         696.03
         220.11              3         559.14
         209.82              3         708.09
         232.99              3         352.28
         225.13              3         189.92
         247.19              3         697.30
         234.88              3         632.01
         232.11              3         509.63
         224.50              3         718.93
         215.22              3         540.56
         229.22              3         733.73
         224.69              3         580.36
         239.07              3         560.12
         233.45              3         415.09
         212.82              3         228.79
         240.47              3         544.80
         246.03              3         686.75
         232.52              3         799.25
         210.03              3         189.24
         211.69              3         534.19
         221.75              3         218.38
         240.95              3         497.51
         232.63              3         736.08
         233.67              3         573.68
         223.86              3         521.39
         236.73              3         483.11
         237.25              3         340.64
         216.50              3         218.66
         235.90              3         605.13
         241.80              3         302.87
         214.69              3         685.37
         235.07              3         668.16
         212.89              3         774.58
         214.74              3         363.10
         246.46              3         766.70
         215.08              3         509.36
         224.31              3         263.64
         223.56              3         514.10
         236.14              3         661.52
         240.76              3         546.87
         210.89              3         424.39
         217.89              3         405.17
         216.39              3         489.07
         228.76              3         535.76
         216.69              3         503.49
         209.48              3         602.31
         230.28              3         758.71
         212.57              3         836.62
         230.93              3         364.39
         244.28              3         344.12
         241.82              3          45.74
         238.10              3         415.22
         210.24              3         499.25
         244.13              3         417.72
         223.30              3         626.94
         219.91              3         681.38
         218.80              3         455.66
         240.02              3         338.19
         211.09              3         379.31
         230.86              3         283.40
         224.08              3         461.37
         246.25              3         564.66
         217.30              3         466.10
         231.75              3         366.13
         235.79              3         316.20
         210.83              3         120.31
         246.93              3         859.82
         215.49              3         726.87
         240.16              3         410.26
         239.66              3         260.01
         244.47              3         891.11
         211.74              3         611.05
         211.08              3         773.56
         216.71              3         222.72
         216.24              3         116.89
         220.11              3         171.75
         238.59              3         106.35
         216.03              3         779.24
         218.58              3         267.81
         248.50              3         573.08
         227.68              3         251.83
         227.78              3         359.44
         218.26              3         756.61
         222.27              3         731.80
         237.25              3         430.20
         232.38              3         374.84
         215.43              3         489.13
         219.26              3        1020.45
         223.48              3         441.27
         243.30              3         452.12
         235.05              3         601.51
         233.06              3         640.23
         217.58              3         821.22
         227.87              3         443.02
         248.03              3         278.96
         230.58              3         680.62
         226.45              3         795.91
         230.17              3         623.15
         240.27              3         705.87
         239.26              3         497.47
         245.35              3         430.66
