    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         131.59              2         190.85
         123.07              2         233.04
         126.98              2         951.02
         133.66              2         432.30
         123.27              2         595.47
         119.14              2         559.95
         118.16              2         344.59
         123.90              2         311.33
         121.51              2         595.62
         131.64              2         724.05
         123.11              2         207.44
         125.63              2         471.17
         116.39              2         502.55
         125.66              2         624.97
         124.10              2         976.13
         132.55              2         632.23
         131.66              2         693.47
         123.73              2         453.25
         124.37              2         722.03
         133.12              2         378.79
         118.49              2         786.30
         129.77              2         585.81
         125.69              2         463.31
         132.21              2         426.77
         126.39              2         220.03
         120.43              2         385.95
         120.30              2         773.02
         120.03              2         492.28
         121.80              2         369.33
         118.85              2         486.88
